state_x,state_y,carrying,wall_up,wall_down,wall_left,wall_right,action,q_value
16,10,1,0,0,0,0,3,338.618175
16,9,1,0,0,0,0,1,377.98954
14,11,0,0,0,0,0,0,373.057877
15,11,0,0,0,0,1,0,344.455297
16,11,0,0,1,0,0,3,327.1759
16,10,0,0,0,0,0,1,366.428873
15,10,0,0,0,0,0,3,367.073054
15,9,0,0,0,1,0,2,-0.5
15,10,0,0,0,0,0,1,389.730752
14,10,0,0,0,0,0,1,411.667355
13,10,0,0,0,0,0,1,419.135652
12,10,0,0,0,0,0,1,404.317654
11,10,0,0,0,0,1,1,402.595259
10,10,0,0,0,0,0,3,394.661682
10,9,0,0,0,0,0,0,416.488482
11,9,0,0,0,0,0,1,395.118614
10,9,0,0,0,0,0,3,414.253738
12,10,0,0,0,0,0,2,441.067721
12,13,0,1,0,0,0,0,412.548187
16,15,0,0,0,1,1,0,311.491798
13,15,0,0,0,1,1,0,368.689422
12,15,0,0,0,0,0,3,412.329561
12,14,0,0,1,0,0,1,396.301838
11,14,0,0,0,1,0,1,422.30885
17,16,1,1,0,0,0,0,255.437239
18,16,1,0,0,0,0,3,314.186182
18,15,1,0,0,0,0,3,294.31581
18,14,1,0,0,0,0,1,261.319416
17,14,1,1,0,0,0,0,293.901464
18,14,1,0,0,0,0,3,88.474335
18,13,0,0,0,0,0,1,322.861946
17,13,0,0,0,0,0,1,346.519814
16,13,0,0,0,0,1,1,369.62052
15,13,0,0,0,1,1,1,383.5008
14,13,0,0,0,0,0,1,397.232834
10,14,0,0,0,0,0,3,446.216601
10,14,0,0,0,0,0,1,419.216827
9,14,0,0,0,0,0,0,422.428015
10,15,0,0,0,0,0,2,399.400454
10,18,1,0,0,0,0,0,398.931847
11,18,1,0,0,0,0,3,420.372024
10,17,0,0,0,0,0,1,376.121995
9,17,0,0,0,0,0,1,360.246447
8,17,0,0,0,0,0,3,373.217899
8,16,0,0,0,0,0,1,352.88411
7,16,0,1,0,0,0,3,370.542488
2,15,0,0,0,0,0,1,297.609312
1,15,0,0,0,0,1,1,297.079487
0,15,1,1,0,0,0,3,293.573914
0,14,1,1,0,0,0,0,309.285333
2,16,1,1,1,0,0,3,308.854791
6,17,1,0,0,1,0,1,336.836268
2,15,0,0,0,0,0,2,302.440603
2,16,0,1,1,0,0,3,324.712506
2,15,0,0,0,0,0,3,311.165817
2,14,0,0,1,0,0,3,297.590403
3,9,1,0,0,1,0,0,330.902577
4,9,1,0,0,0,0,0,349.364101
5,9,1,0,0,1,0,2,368.758783
5,0,1,0,0,1,0,1,321.373378
8,2,0,0,0,0,0,3,367.681027
8,1,0,1,0,0,0,0,385.76042
10,2,1,0,0,0,0,2,394.60082
10,3,1,0,1,0,0,1,391.899341
9,3,1,0,0,0,0,1,401.279795
8,3,0,0,0,0,0,3,392.534379
14,1,0,0,0,0,0,1,351.616413
13,1,0,0,0,0,1,1,375.831473
12,1,0,1,0,0,0,2,368.284872
12,2,0,0,1,0,0,2,336.088441
14,5,1,0,0,0,1,0,311.381148
15,5,1,0,0,1,0,0,297.196459
16,5,1,0,0,1,1,0,314.206016
17,5,1,0,0,0,0,2,333.407947
17,6,0,1,0,0,0,2,298.657031
17,7,0,0,0,0,1,1,316.213307
16,7,0,0,0,1,0,1,337.78845
15,7,0,0,0,0,1,1,358.331119
14,7,0,0,0,1,0,1,368.546004
13,7,0,0,0,1,1,1,379.103649
12,7,0,0,0,0,0,1,376.116811
8,12,1,0,0,0,0,3,431.978274
8,11,1,1,0,0,0,2,461.90817
9,13,0,0,0,0,0,1,389.109812
17,16,0,1,0,0,0,0,284.345153
18,16,0,0,0,0,0,2,232.410435
18,17,0,0,0,0,0,1,284.25182
17,17,0,0,0,0,1,1,298.539778
16,17,0,0,0,1,0,1,315.708727
15,17,0,0,0,0,1,1,333.454563
14,17,0,0,0,1,0,1,355.332337
13,17,0,0,0,1,1,1,379.618591
14,15,1,0,0,0,1,3,409.563056
14,14,1,1,1,0,0,3,428.720986
14,13,1,0,0,0,0,1,438.99609
10,16,0,0,1,0,0,1,389.918128
8,17,0,0,0,0,0,1,336.638617
7,17,0,0,0,0,1,1,320.341984
6,17,0,0,0,1,0,1,301.448543
5,17,0,0,0,0,1,1,287.011179
4,17,0,0,0,1,0,1,272.83912
3,17,0,0,0,1,1,0,288.243687
3,17,0,0,0,1,1,1,277.369279
2,17,0,0,0,0,0,3,300.186556
7,15,1,0,0,0,0,2,402.419662
1,9,1,0,0,0,0,3,294.279732
1,7,1,0,0,1,0,0,303.635114
2,7,1,0,0,0,0,0,289.441854
3,7,1,0,0,1,1,0,296.041115
4,7,1,0,0,1,0,2,312.674862
4,8,1,1,1,0,0,2,330.184107
5,11,0,0,0,0,1,3,341.477198
5,10,0,0,0,0,0,1,320.708853
4,10,0,0,0,0,0,2,317.256947
0,7,0,1,0,0,0,3,261.611919
0,6,0,1,1,0,0,3,272.761481
1,5,1,0,0,0,1,3,278.133878
1,4,1,0,0,1,0,0,295.793681
2,4,1,0,1,0,0,3,314.309504
2,3,1,1,0,0,0,0,333.413158
2,3,0,1,0,0,0,2,284.42725
2,4,0,0,1,0,0,1,271.794394
1,4,0,0,0,1,0,0,287.006445
2,4,0,0,1,0,0,2,302.246352
2,4,1,0,1,0,0,2,282.451701
2,3,1,1,0,0,0,3,317.015314
2,2,1,0,1,0,0,1,339.211623
1,2,1,0,0,1,1,0,292.555673
2,2,1,0,1,0,0,2,313.33145
3,3,1,0,0,1,1,0,330.376725
5,3,1,0,0,1,1,0,363.39097
6,3,1,0,0,0,1,1,344.484788
6,3,1,0,0,0,1,0,383.338719
7,3,1,0,0,0,0,3,386.085426
7,2,1,0,0,1,0,2,378.615712
7,3,1,0,0,0,0,1,367.48802
7,3,1,0,0,0,0,0,402.624459
8,3,1,0,0,0,0,1,371.729317
7,3,1,0,0,0,0,2,371.051986
7,4,1,1,0,0,0,2,353.069249
7,5,1,0,0,0,0,2,365.887854
7,6,0,1,0,0,0,2,331.314648
7,7,0,0,0,0,1,1,311.538888
6,7,0,0,0,1,0,2,297.159412
6,8,0,1,1,0,0,2,278.320111
6,9,0,0,0,0,0,3,272.698391
6,9,0,0,0,0,0,1,285.45172
5,9,0,0,0,1,0,1,281.231331
4,9,0,0,0,0,0,1,294.092276
3,9,0,0,0,1,0,2,300.683137
3,10,0,0,0,0,0,1,329.123921
2,10,0,0,0,0,0,0,298.524217
0,15,0,1,0,0,0,2,283.640969
0,16,0,1,1,0,0,2,274.662094
0,17,0,1,0,0,0,3,284.253485
1,18,1,0,0,0,0,3,241.773228
12,6,1,1,1,0,0,3,351.346311
16,5,1,0,0,1,1,1,312.740987
